# f [Hz], A [dBV]
# 
28070.175439,-102.409800
28320.802005,-102.098200
28571.428571,-102.021800
28822.055138,-102.927200
29072.681704,-103.732700
29323.308271,-104.244200
29573.934837,-104.591100
29824.561404,-104.808600
30075.187970,-103.779700
30325.814536,-105.279000
30576.441103,-106.325500
30827.067669,-106.966400
31077.694236,-106.837100
31328.320802,-103.468100
31578.947368,-106.272600
31829.573935,-106.213800
32080.200501,-105.155500
32330.827068,-106.055100
32581.453634,-107.613100
32832.080201,-107.977700
33082.706767,-108.912500
33333.333333,-109.747400
33583.959900,-110.799800
33834.586466,-111.152600
34085.213033,-111.428900
34335.839599,-111.176100
34586.466165,-111.722900
34837.092732,-112.116800
35087.719298,-109.359400
35338.345865,-112.310900
35588.972431,-111.922800
35839.598997,-111.570000
36090.225564,-111.346600
36340.852130,-112.716500
36591.478697,-113.098700
36842.105263,-113.745500
37092.731830,-113.986500
37343.358396,-114.204100
37593.984962,-114.333400
37844.611529,-114.392200
38095.238095,-114.474500
38345.864662,-114.521600
38596.491228,-114.639100
38847.117794,-114.662700
39097.744361,-114.680300
39348.370927,-114.521600
39598.997494,-114.209900
39849.624060,-113.963000
40100.250627,-113.428000
40350.877193,-113.598500
40601.503759,-114.245200
40852.130326,-112.898800
41102.756892,-109.488700
41353.383459,-112.910600
41604.010025,-112.340300
41854.636591,-109.059500
42105.263158,-106.913500
42355.889724,-110.970300
42606.516291,-111.246700
42857.142857,-112.851800
43107.769424,-113.251600
43358.395990,-113.392700
43609.022556,-113.345700
43859.649123,-113.092800
44110.275689,-112.593100
44360.902256,-112.916500
44611.528822,-112.804700
44862.155388,-113.416200
45112.781955,-113.945400
45363.408521,-113.898300
45614.035088,-113.545600
45864.661654,-113.757200
46115.288221,-113.651400
46365.914787,-113.880700
46616.541353,-113.886600
46867.167920,-112.440200
47117.794486,-106.437300
47368.421053,-113.328000
47619.047619,-113.727800
47869.674185,-113.739600
48120.300752,-113.251600
48370.927318,-113.251600
48621.553885,-113.874800
48872.180451,-114.427500
49122.807018,-113.410300
49373.433584,-114.498000
49624.060150,-114.392200
49874.686717,-114.239300
50125.313283,-113.910100
50375.939850,-114.680300
50626.566416,-114.844900
50877.192982,-114.574500
51127.819549,-114.292300
51378.446115,-114.274600
51629.072682,-114.315800
51879.699248,-114.333400
52130.325815,-114.333400
52380.952381,-114.151100
52631.578947,-114.221700
52882.205514,-114.539200
53132.832080,-114.833200
53383.458647,-114.762600
53634.085213,-114.221700
53884.711779,-115.133000
54135.338346,-108.724400
54385.964912,-115.280000
54636.591479,-114.956600
54887.218045,-114.051200
55137.844612,-115.309400
55388.471178,-115.403500
55639.097744,-115.309400
55889.724311,-114.862600
56140.350877,-115.444600
56390.977444,-114.674400
56641.604010,-115.150700
56892.230576,-115.556300
57142.857143,-115.721000
57393.483709,-115.650400
57644.110276,-116.097300
57894.736842,-116.209000
58145.363409,-116.226600
58395.989975,-116.179600
58646.616541,-116.144300
58897.243108,-116.050200
59147.869674,-115.926800
59398.496241,-115.532800
59649.122807,-115.591600
59899.749373,-115.197700
60150.375940,-115.268200
60401.002506,-115.409400
60651.629073,-115.544600
60902.255639,-115.709200
61152.882206,-115.979700
61403.508772,-115.832700
61654.135338,-115.668100
61904.761905,-114.204100
62155.388471,-115.074200
62406.015038,-114.609700
62656.641604,-109.112400
62907.268170,-111.687600
63157.894737,-114.074700
63408.521303,-114.380400
63659.147870,-113.045800
63909.774436,-111.775800
64160.401003,-112.840000
64411.027569,-111.534800
64661.654135,-108.618500
64912.280702,-97.776760
65162.907268,-101.116300
65413.533835,-108.630300
65664.160401,-111.770000
65914.786967,-113.157500
66165.413534,-108.330400
66416.040100,-114.015900
66666.666667,-114.697900
66917.293233,-114.656800
67167.919799,-114.509800
67418.546366,-114.392200
67669.172932,-114.480400
67919.799499,-114.627400
68170.426065,-114.944900
68421.052632,-114.750900
68671.679198,-114.721500
68922.305764,-114.880200
69172.932331,-114.927200
69423.558897,-115.074200
69674.185464,-114.986000
69924.812030,-114.850800
70175.438596,-114.233500
70426.065163,-106.784100
70676.691729,-111.605300
70927.318296,-114.386300
71177.944862,-114.580300
71428.571429,-114.950800
71679.197995,-114.933100
71929.824561,-115.091900
72180.451128,-115.274100
72431.077694,-115.080100
72681.704261,-115.091900
72932.330827,-115.262400
73182.957393,-115.362300
73433.583960,-115.362300
73684.210526,-115.280000
73934.837093,-115.050700
74185.463659,-114.556800
74436.090226,-112.152100
74686.716792,-115.062500
74937.343358,-115.127100
75187.969925,-114.815500
75438.596491,-114.821400
75689.223058,-115.185900
75939.849624,-115.303500
76190.476190,-114.880200
76441.102757,-115.221200
76691.729323,-115.285900
76942.355890,-114.980200
77192.982456,-115.121300
77443.609023,-115.180100
77694.235589,-114.745000
77944.862155,-113.433800
78195.488722,-108.542100
78446.115288,-108.301000
78696.741855,-114.833200
78947.368421,-114.933100
79197.994987,-115.091900
79448.621554,-115.227100
79699.248120,-115.185900
79949.874687,-115.003700
80200.501253,-114.315800
80451.127820,-114.145300
80701.754386,-115.103600
80952.380952,-115.256500
81203.007519,-115.315300
81453.634085,-115.227100
81704.260652,-115.244700
81954.887218,-115.256500
82205.513784,-115.356400
82456.140351,-115.244700
82706.766917,-115.162400
82957.393484,-114.427500
83208.020050,-115.127100
83458.646617,-115.068300
83709.273183,-114.939000
83959.899749,-115.068300
84210.526316,-114.997800
84461.152882,-114.833200
84711.779449,-114.774400
84962.406015,-114.733200
85213.032581,-114.545100
85463.659148,-113.257500
85714.285714,-114.374600
85964.912281,-114.392200
86215.538847,-114.298100
